custom_id,row_index,label,coverage,vote_share,mixed,disagreement,sort_group,fully_observed,gpt-4.1-mini,gpt-4.1-nano,gpt-5-nano,gpt-5.4-nano,gpt-5-mini,gpt-5.4,gpt-5.1,gpt-5.2
$hash_/Omo9qIeZ0jAEmsH6MIB0w==,0,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_1/Whl+POtjHVF2v+KXJFWA==,1,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_1so24CnmNGF91QOaTFTxow==,2,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_CmLvr9P/G9z4OhI+Cgdeaw==,3,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_EpPNxRdiuXXl5jqfFpCOKQ==,4,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_Gy5QmzZ+zpK7pKgbfrt6/A==,5,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_HBUvmBvKcrCv2+Kg5X0VwA==,6,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_HKXcWjhnqAMHuAm+fECS3w==,7,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_HjCYbBVUh2dA6TXbdrIw4w==,8,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_I7gyM8r6Z9fIGl/bY7tMVQ==,9,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_KFMiEeBEdJxhxVN8gC80vg==,10,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_KyGPFtP81eQiA25ngOkY7w==,11,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_LJaxUtOtceDvN4qMYJTW4A==,12,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_LxwESk9kmmV1FyMZcx489w==,13,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
$hash_P2Itc8QiKmRlV5ao6NeCKg==,14,False,8,0.0,False,0.0,0,True,False,False,False,False,False,False,False,False
