model,n,tp,fp,tn,fn,accuracy,avg_inference_cost,expected_cost
gpt-5.2,300,249,8,42,1,0.97,0.008906855416666658,0.03890685541666666
gpt-5,300,250,10,40,0,0.9666666666666667,0.00708150416666665,0.04041483749999998
gpt-5.1,300,246,7,43,4,0.9633333333333334,0.005918854166666659,0.04258552083333333
gpt-5.4,299,245,9,41,4,0.9565217391304348,0.013131843645484942,0.05661010451505016
claude-sonnet-4-6,300,245,8,42,5,0.9566666666666667,0.017125527533333323,0.06045886086666666
gpt-5-mini,300,231,4,46,19,0.9233333333333333,0.0013497479166666559,0.07801641458333332
claude-sonnet-4-5,300,224,4,46,26,0.9,0.018281293466666654,0.11828129346666666
gpt-5-nano,300,216,3,47,34,0.8766666666666667,0.000349757166666664,0.1236830905
claude-haiku-4-5,300,209,5,45,41,0.8466666666666667,0.0060144152666666405,0.15934774859999995
gemini-2.5-flash,300,202,9,41,48,0.81,0.000709477166666642,0.19070947716666664
gpt-4.1-mini,300,192,1,49,58,0.8033333333333333,0.0023205099999999966,0.19898717666666665
gpt-4.1-nano,300,170,10,40,80,0.7,0.0008124693333333291,0.30081246933333333
