model,metric,value
claude-haiku-4-5,accuracy,0.8466666666666667
claude-sonnet-4-5,accuracy,0.8933333333333333
claude-sonnet-4-6,accuracy,0.9633333333333334
gemini-2.5-flash,accuracy,0.8033333333333333
gpt-4.1-mini,accuracy,0.8033333333333333
gpt-4.1-nano,accuracy,0.6866666666666666
gpt-5,accuracy,0.9666666666666667
gpt-5-mini,accuracy,0.8933333333333333
gpt-5-nano,accuracy,0.8733333333333333
gpt-5.1,accuracy,0.9733333333333334
gpt-5.2,accuracy,0.97
gpt-5.4,accuracy,0.9566666666666667
claude-haiku-4-5,precision,0.9766355140186916
claude-sonnet-4-5,precision,0.9780701754385965
claude-sonnet-4-6,precision,0.9649805447470817
gemini-2.5-flash,precision,0.9569377990430622
gpt-4.1-mini,precision,0.9897435897435898
gpt-4.1-nano,precision,0.9482758620689655
gpt-5,precision,0.9651162790697675
gpt-5-mini,precision,0.9780701754385965
gpt-5-nano,precision,1.0
gpt-5.1,precision,0.97265625
gpt-5.2,precision,0.9688715953307393
gpt-5.4,precision,0.9647058823529412
claude-haiku-4-5,recall,0.836
claude-sonnet-4-5,recall,0.892
claude-sonnet-4-6,recall,0.992
gemini-2.5-flash,recall,0.8
gpt-4.1-mini,recall,0.772
gpt-4.1-nano,recall,0.66
gpt-5,recall,0.996
gpt-5-mini,recall,0.892
gpt-5-nano,recall,0.848
gpt-5.1,recall,0.996
gpt-5.2,recall,0.996
gpt-5.4,recall,0.984
claude-haiku-4-5,f1,0.9008620689655172
claude-sonnet-4-5,f1,0.9330543933054394
claude-sonnet-4-6,f1,0.9783037475345168
gemini-2.5-flash,f1,0.8714596949891068
gpt-4.1-mini,f1,0.8674157303370786
gpt-4.1-nano,f1,0.7783018867924528
gpt-5,f1,0.9803149606299213
gpt-5-mini,f1,0.9330543933054394
gpt-5-nano,f1,0.9177489177489178
gpt-5.1,f1,0.9841897233201581
gpt-5.2,f1,0.9822485207100592
gpt-5.4,f1,0.9742574257425742
claude-haiku-4-5,specificity,0.9
claude-sonnet-4-5,specificity,0.9
claude-sonnet-4-6,specificity,0.82
gemini-2.5-flash,specificity,0.82
gpt-4.1-mini,specificity,0.96
gpt-4.1-nano,specificity,0.82
gpt-5,specificity,0.82
gpt-5-mini,specificity,0.9
gpt-5-nano,specificity,1.0
gpt-5.1,specificity,0.86
gpt-5.2,specificity,0.84
gpt-5.4,specificity,0.82
claude-haiku-4-5,balanced_accuracy,0.868
claude-sonnet-4-5,balanced_accuracy,0.896
claude-sonnet-4-6,balanced_accuracy,0.9059999999999999
gemini-2.5-flash,balanced_accuracy,0.81
gpt-4.1-mini,balanced_accuracy,0.866
gpt-4.1-nano,balanced_accuracy,0.74
gpt-5,balanced_accuracy,0.9079999999999999
gpt-5-mini,balanced_accuracy,0.896
gpt-5-nano,balanced_accuracy,0.9239999999999999
gpt-5.1,balanced_accuracy,0.9279999999999999
gpt-5.2,balanced_accuracy,0.9179999999999999
gpt-5.4,balanced_accuracy,0.9019999999999999
claude-haiku-4-5,pr_auc,0.974651090342679
claude-sonnet-4-5,pr_auc,0.9800350877192983
claude-sonnet-4-6,pr_auc,0.9818236057068742
gemini-2.5-flash,pr_auc,0.9618022328548645
gpt-4.1-mini,pr_auc,0.975871794871795
gpt-4.1-nano,pr_auc,0.9458045977011494
gpt-5,pr_auc,0.9822248062015504
gpt-5-mini,pr_auc,0.9800350877192983
gpt-5-nano,pr_auc,0.9873333333333334
gpt-5.1,pr_auc,0.9859947916666667
gpt-5.2,pr_auc,0.9841024643320363
gpt-5.4,pr_auc,0.9810196078431374
