model,n,tp,fp,tn,fn,accuracy,precision,recall,f1,specificity,balanced_accuracy
claude-haiku-4-5,300,209,5,45,41,0.8466666666666667,0.9766355140186916,0.836,0.9008620689655172,0.9,0.868
claude-sonnet-4-5,300,224,4,46,26,0.9,0.9824561403508771,0.896,0.9372384937238494,0.92,0.908
claude-sonnet-4-6,300,245,8,42,5,0.9566666666666667,0.9683794466403162,0.98,0.974155069582505,0.84,0.9099999999999999
gemini-2.5-flash,300,202,9,41,48,0.81,0.957345971563981,0.808,0.8763557483731019,0.82,0.8140000000000001
gpt-4.1-mini,300,192,1,49,58,0.8033333333333333,0.9948186528497409,0.768,0.8668171557562077,0.98,0.874
gpt-4.1-nano,300,170,10,40,80,0.7,0.9444444444444444,0.68,0.7906976744186046,0.8,0.74
gpt-5,300,250,10,40,0,0.9666666666666667,0.9615384615384616,1.0,0.9803921568627451,0.8,0.9
gpt-5-mini,300,231,4,46,19,0.9233333333333333,0.9829787234042553,0.924,0.9525773195876288,0.92,0.922
gpt-5-nano,300,216,3,47,34,0.8766666666666667,0.9863013698630136,0.864,0.9211087420042644,0.94,0.9019999999999999
gpt-5.1,300,246,7,43,4,0.9633333333333334,0.9723320158102767,0.984,0.9781312127236581,0.86,0.9219999999999999
gpt-5.2,300,249,8,42,1,0.97,0.9688715953307393,0.996,0.9822485207100592,0.84,0.9179999999999999
gpt-5.4,299,245,9,41,4,0.9565217391304348,0.9645669291338582,0.9839357429718876,0.974155069582505,0.82,0.9019678714859438
