rho,g,n_min,power_at_n_min,power_at_300
0.03,0.03,223,0.8010445182276924,0.9475658680410781
0.035,0.03,263,0.8016619705237368,0.8640901662919542
0.04,0.03,301,0.8000896661321402,0.7984515421498992
0.045,0.03,335,0.8001861634229706,0.7460255607110529
0.05,0.03,371,0.8010506207557254,0.701054214833662
0.055,0.03,409,0.8007290550399035,0.6608330901465612
0.06,0.03,446,0.8000628567858394,0.6243086563564009
0.065,0.03,482,0.8006678561583669,0.5910779433988267
0.07,0.03,517,0.8000876214463277,0.5610199344822571
0.075,0.03,555,0.8003419282918842,0.5341017728101516
0.08,0.03,593,0.8006384860447379,0.5102200482859629
0.085,0.03,628,0.8001343161988428,0.48911384516000966
0.09,0.03,664,0.8001956678278401,0.47038040152282345
0.095,0.03,702,0.8005131500538876,0.453561190152836
0.1,0.03,739,0.8002606220967549,0.4382342690649296
0.105,0.03,775,0.8002629431351531,0.4240678115621874
0.11,0.03,810,0.8000895048875274,0.4108290772385024
0.115,0.03,845,0.8002313855475724,0.3983679284109019
0.12,0.03,879,0.8003753835286398,0.38659522912731353
0.125,0.03,913,0.8003903800991958,0.37546562504481085
0.13,0.03,948,0.8003397748520291,0.36496462151485176
0.135,0.03,983,0.8001392985034168,0.3550965936949298
0.14,0.03,1018,0.800280220119987,0.34587175603117
0.145,0.03,1052,0.8002281840937557,0.3372929379418286
0.15,0.03,1086,0.800214348714723,0.32934500075356166
0.155,0.03,1120,0.8003049392635226,0.3219898812149792
0.16,0.03,1154,0.8000414130893365,0.3151685815527898
0.165,0.03,1190,0.8001910659983744,0.3088088867671447
0.17,0.03,1224,0.8001873086507947,0.3028355968140283
0.175,0.03,1258,0.8001207382290334,0.2971796649801279
0.18,0.03,1294,0.8002709592018268,0.29178386322784655
0.185,0.03,1329,0.8001881311760874,0.286604546726352
0.19,0.03,1364,0.8001560456485085,0.2816106376162612
0.195,0.03,1399,0.8002191042678622,0.27678146856328284
0.2,0.03,1433,0.8002035391146107,0.27210472700080407
0.05,0.05,134,0.8049626727456551,0.9993091660128817
0.055,0.05,147,0.8008222709003505,0.9926096721975812
0.06,0.05,162,0.800576892897253,0.9827275152536797
0.065,0.05,176,0.8004562153445316,0.9700149198164073
0.07,0.05,189,0.8015332796157972,0.9548206047845138
0.075,0.05,201,0.8011985707022129,0.9377263667313394
0.08,0.05,213,0.8001479013699355,0.9194268189462094
0.085,0.05,227,0.80164851544293,0.9006085078543482
0.09,0.05,240,0.8001114815186505,0.8818013507164506
0.095,0.05,254,0.8002323916760516,0.8632995383354689
0.1,0.05,268,0.8011743819288949,0.845193331464483
0.105,0.05,280,0.8000211851603064,0.8274620011235659
0.11,0.05,293,0.8006305124425185,0.8100577944061381
0.115,0.05,306,0.8008235505389653,0.7929495876613102
0.12,0.05,319,0.8004011026466035,0.7761343012607935
0.125,0.05,333,0.8007261630532473,0.7596352366038565
0.13,0.05,347,0.8010677587236207,0.7434982134777528
0.135,0.05,360,0.8007905194579525,0.7277865409802886
0.14,0.05,373,0.8009592851346482,0.7125723981023147
0.145,0.05,385,0.8001804474532497,0.6979239645499206
0.15,0.05,398,0.8001765509105543,0.6838909527976321
0.155,0.05,412,0.8007240402922413,0.6704932616303936
0.16,0.05,425,0.8001374550027313,0.6577169597863877
0.165,0.05,439,0.800529987157494,0.6455189322456327
0.17,0.05,452,0.8003976634448828,0.6338379218244955
0.175,0.05,465,0.800531816325895,0.6226074475392525
0.18,0.05,478,0.8007271780528014,0.6117662791740752
0.185,0.05,490,0.800164658849419,0.6012642710017937
0.19,0.05,503,0.8005369823738113,0.5910638530388421
0.195,0.05,515,0.8003781562251222,0.5811389664939277
0.2,0.05,527,0.8003455455087288,0.5714733077946124
0.08,0.08,83,0.8031309745338742,0.9999996960027914
0.085,0.08,88,0.8011165396867228,0.9999712968755823
0.09,0.08,94,0.8023418252198902,0.9998576250548252
0.095,0.08,100,0.8023772826294469,0.9995798865394512
0.1,0.08,106,0.8035636398989692,0.9990629396650478
0.105,0.08,111,0.8021033898765443,0.998255104103332
0.11,0.08,116,0.8023400119749401,0.997125229887828
0.115,0.08,121,0.8032667430506134,0.9956485726013711
0.12,0.08,125,0.8004241741856452,0.9938002971509396
0.125,0.08,130,0.8010281366501707,0.9915579213728777
0.13,0.08,135,0.8010026589093093,0.9889055981595205
0.135,0.08,140,0.800392624408311,0.9858370425492318
0.14,0.08,146,0.8021635221455634,0.9823576084082132
0.145,0.08,151,0.800779835826066,0.9784856845980681
0.15,0.08,157,0.8020923855260325,0.9742522568660997
0.155,0.08,162,0.8011440392699294,0.9696975048924741
0.16,0.08,167,0.8007028489776269,0.9648647017921614
0.165,0.08,172,0.800692579933592,0.9597933410653159
0.17,0.08,177,0.8009100714937636,0.9545140808693875
0.175,0.08,182,0.801132037662807,0.9490472133055505
0.18,0.08,187,0.8011956928246771,0.9434045385854934
0.185,0.08,192,0.8010201153273624,0.937593024640187
0.19,0.08,197,0.8005943927997502,0.9316183460740244
0.195,0.08,203,0.8018495340729567,0.9254871996921651
0.2,0.08,208,0.801071650056264,0.9192083698564781
