min_recall,budget,n_feasible,cheapest,recall,cost,J
0.8,0.002,2,gpt-5-nano,0.8338658146964856,0.00032575159478885564,0.19020784533682727
0.8,0.01,5,gpt-5-nano,0.8338658146964856,0.00032575159478885564,0.19020784533682727
0.8,,6,gpt-5-nano,0.8338658146964856,0.00032575159478885564,0.19020784533682727
0.9,0.002,1,gpt-5-mini,0.9009584664536742,0.0012740251572326928,0.11505188488248423
0.9,0.01,4,gpt-5-mini,0.9009584664536742,0.0012740251572326928,0.11505188488248423
0.9,,5,gpt-5-mini,0.9009584664536742,0.0012740251572326928,0.11505188488248423
0.95,0.002,0,,,,
0.95,0.01,3,gpt-5.1,0.9760383386581469,0.005299487309074563,0.0363215999461113
0.95,,4,gpt-5.1,0.9760383386581469,0.005299487309074563,0.0363215999461113
0.98,0.002,0,,,,
0.98,0.01,2,gpt-5,0.9952076677316294,0.006510838948787051,0.01683239878945853
0.98,,2,gpt-5,0.9952076677316294,0.006510838948787051,0.01683239878945853
