model,start,trough,end,acc_start,acc_trough,acc_end,dip_pp,dip_p,rebound_pp,rebound_p,net_pp,recovered_share,dip_p_holm,rebound_p_holm,both_legs_significant
gpt-4.1-mini,2026-03-15,2026-03-22,2026-03-28,0.7892976588628763,0.6632996632996633,0.7966666666666666,-0.125,9.84939209043318e-07,0.13131313131313133,2.294415609753117e-07,0.006688963210702341,1.0584851193136111,5.023189966120922e-05,1.1701519609740897e-05,True
gpt-5-nano,2026-06-08,2026-06-15,2026-06-22,0.8862876254180602,0.8494983277591973,0.86,-0.03691275167785235,0.026119492948055267,0.010033444816053512,0.355535551905632,-0.026755852842809364,0.28545454545454557,1.0,1.0,False
claude-haiku-4-5,2026-06-15,2026-06-22,2026-06-29,0.8528428093645485,0.8327759197324415,0.85,-0.020134228187919462,0.0546875,0.016722408026755852,0.08984375,-0.0033444816053511705,0.8583333333333327,1.0,1.0,False
gpt-5,2026-06-15,2026-06-22,2026-06-29,0.9766666666666667,0.9633333333333334,0.9732441471571907,-0.013333333333333334,0.0625,0.010033444816053512,0.125,-0.0033444816053511705,0.7433110367892973,1.0,1.0,False
claude-haiku-4-5,2026-03-22,2026-04-01,2026-04-13,0.8533834586466166,0.8383458646616542,0.8461538461538461,-0.01509433962264151,0.0625,0.0037593984962406013,0.5,-0.011320754716981131,0.5192307692307663,1.0,1.0,False
gpt-5-nano,2026-05-18,2026-05-25,2026-06-01,0.8795986622073578,0.842809364548495,0.8662207357859532,-0.03691275167785235,0.06314473719271518,0.023411371237458192,0.1620043000439182,-0.013422818791946308,0.6363636363636364,1.0,1.0,False
gpt-4.1-nano,2026-04-01,2026-04-06,2026-04-13,0.7233333333333334,0.6866666666666666,0.7,-0.03666666666666667,0.07193254422027448,0.013333333333333334,0.3327329060383094,-0.023333333333333334,0.36363636363636226,1.0,1.0,False
gpt-4.1-nano,2026-06-15,2026-06-22,2026-06-29,0.7391304347826086,0.705685618729097,0.7391304347826086,-0.030201342281879196,0.08137782872654498,0.03355704697986577,0.09670632643096869,0.0,1.0,1.0,1.0,False
gpt-4.1-mini,2026-06-08,2026-06-15,2026-06-22,0.8166666666666667,0.7919463087248322,0.8160535117056856,-0.02348993288590604,0.10501980781555176,0.02348993288590604,0.0717315673828125,0.0,0.9751963558770573,1.0,1.0,False
gpt-5-nano,2026-04-13,2026-04-20,2026-04-27,0.8766666666666667,0.85,0.8695652173913043,-0.02666666666666667,0.10766357486136258,0.020066889632107024,0.19576415256597102,-0.006688963210702341,0.7336956521739113,1.0,1.0,False
gpt-5.1,2026-03-22,2026-04-01,2026-04-06,0.9697986577181208,0.9566666666666667,0.9733333333333334,-0.013422818791946308,0.109375,0.016666666666666666,0.0625,0.003355704697986577,1.2691652470187442,1.0,1.0,False
gpt-5.1,2026-05-18,2026-05-25,2026-06-01,0.9698996655518395,0.9531772575250836,0.9565217391304348,-0.016778523489932886,0.11328125,0.003355704697986577,0.5,-0.013422818791946308,0.2,1.0,1.0,False
gpt-5-mini,2026-06-08,2026-06-15,2026-06-22,0.9261744966442953,0.9066666666666666,0.9233333333333333,-0.020134228187919462,0.1189422607421875,0.016666666666666666,0.2024364471435547,-0.003355704697986577,0.8543577981651385,1.0,1.0,False
gpt-4.1-mini,2026-05-25,2026-06-01,2026-06-08,0.8260869565217391,0.8087248322147651,0.8166666666666667,-0.020202020202020204,0.1189422607421875,0.010067114093959731,0.3238029479980469,-0.010033444816053512,0.4574229691876741,1.0,1.0,False
gpt-5,2026-04-27,2026-05-11,2026-05-18,0.9733333333333334,0.9633333333333334,0.9733333333333334,-0.01,0.125,0.01,0.125,0.0,1.0,1.0,1.0,False
claude-sonnet-4-6,2026-06-08,2026-06-15,2026-06-22,0.96,0.9496644295302014,0.959866220735786,-0.010067114093959731,0.125,0.010101010101010102,0.1875,0.0,0.9870564218390365,1.0,1.0,False
gpt-5.2,2026-06-08,2026-06-22,2026-06-29,0.9766666666666667,0.9666666666666667,0.97,-0.01,0.125,0.0033333333333333335,0.5,-0.006666666666666667,0.33333333333332965,1.0,1.0,False
gpt-5-mini,2026-04-27,2026-05-11,2026-05-18,0.9266666666666666,0.9026845637583892,0.919732441471572,-0.02348993288590604,0.132465448230505,0.016835016835016835,0.21217811107635498,-0.006688963210702341,0.7108583337493171,1.0,1.0,False
gpt-5-nano,2026-06-22,2026-06-29,2026-07-06,0.86,0.8366666666666667,0.882943143812709,-0.023333333333333334,0.15525232953950768,0.046822742474916385,0.008062400855123998,0.023411371237458192,1.983277591973244,1.0,0.40312004275619995,False
gpt-5-mini,2026-06-22,2026-06-29,2026-07-06,0.9233333333333333,0.9033333333333333,0.9266666666666666,-0.02,0.16346979141235352,0.023333333333333334,0.10501980781555176,0.0033333333333333335,1.1666666666666647,1.0,1.0,False
claude-sonnet-4-5,2026-06-08,2026-06-15,2026-06-22,0.8996655518394648,0.8862876254180602,0.8896321070234113,-0.013422818791946308,0.171875,0.003355704697986577,0.5,-0.010067114093959731,0.25,1.0,1.0,False
gemini-2.5-flash,2026-03-22,2026-04-06,2026-04-13,0.8120805369127517,0.8033333333333333,0.8093645484949833,-0.010067114093959731,0.1875,0.006688963210702341,0.3125,-0.003367003367003367,0.6895020913702086,1.0,1.0,False
gpt-5.1,2026-04-06,2026-04-13,2026-04-20,0.9733333333333334,0.9632107023411371,0.9697986577181208,-0.010033444816053512,0.1875,0.006734006734006734,0.34375,-0.003355704697986577,0.6508145344883607,1.0,1.0,False
gpt-5.1,2026-04-20,2026-04-27,2026-05-11,0.9697986577181208,0.959866220735786,0.9733333333333334,-0.010101010101010102,0.1875,0.013377926421404682,0.171875,0.003355704697986577,1.3558719397363541,1.0,1.0,False
