model,comparisons,median_psi,min_psi,max_psi,median_flips,mean_delta,worst_delta,mde_alpha005
gpt-4.1-nano,16,0.15166666666666667,0.12374581939799331,0.18666666666666668,45.5,-0.007302127524260585,-0.03666666666666667,0.05799368736448905
gpt-5-nano,15,0.12416107382550336,0.09427609427609428,0.14864864864864866,37.0,0.030285787109053327,0.003355704697986577,0.0524089545729545
gpt-5-mini,15,0.0802675585284281,0.07046979865771812,0.1040268456375839,24.0,-0.0035854746340107683,-0.02348993288590604,0.042287649044754655
gpt-4.1-mini,16,0.062187874268411186,0.040268456375838924,0.20608108108108109,18.5,0.0062177922984568736,-0.125,0.037147725302180745
claude-haiku-4-5,14,0.0338984253085544,0.01509433962264151,0.04905660377358491,9.0,-0.009693370893541131,-0.026415094339622643,0.027666868515420686
claude-sonnet-4-5,14,0.030303030303030304,0.022641509433962263,0.052830188679245285,8.0,-0.008106696493596558,-0.022641509433962263,0.026095812709444385
gpt-5.1,15,0.020202020202020204,0.010067114093959731,0.03367003367003367,6.0,0.006278314108291736,-0.006711409395973154,0.020202019202020204
gemini-2.5-flash,12,0.01675046575834437,0.010033444816053512,0.02348993288590604,5.0,0.008095634592327521,0.0033333333333333335,0.01675046475834437
claude-sonnet-4-6,14,0.01512292738707833,0.007575757575757576,0.022641509433962263,4.0,0.004324920362656212,0.0,0.015122926387078331
gpt-5.4,13,0.013377926421404682,0.006666666666666667,0.016835016835016835,4.0,0.0010238970715727692,-0.006711409395973154,0.013377925421404683
gpt-5.2,14,0.01,0.0033333333333333335,0.013377926421404682,3.0,0.004053198527957792,0.0,0.009999999
gpt-5,15,0.006666666666666667,0.0033333333333333335,0.010067114093959731,2.0,0.004233390446404745,-0.0033333333333333335,0.006666665666666667
