model,run_a,run_b,date_a,date_b,n_pairs,acc_a,acc_b,a,b,c,d,discordance,delta,delta_lo,delta_hi,p_down,p_up,gap_days,p_down_holm,stat_sig,alert
claude-haiku-4-5,gha-23349348405,gha-23832575964,2026-03-22,2026-04-01,265,0.8528301886792453,0.8377358490566038,222,4,0,39,0.01509433962264151,-0.01509433962264151,-0.02977472680217991,-0.00041395244310310844,0.0625,1.0,10,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-24328022313,2026-03-22,2026-04-13,265,0.8528301886792453,0.8415094339622642,221,5,2,37,0.026415094339622643,-0.011320754716981131,-0.030841801793797002,0.008200292359834738,0.2265625,0.9375,22,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-24650819763,2026-03-22,2026-04-20,266,0.8533834586466166,0.8421052631578947,222,5,2,37,0.02631578947368421,-0.011278195488721804,-0.03072603339383492,0.008169642416391312,0.2265625,0.9375,29,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-24979191336,2026-03-22,2026-04-27,265,0.8528301886792453,0.8490566037735849,220,6,5,34,0.04150943396226415,-0.0037735849056603774,-0.028299884793835915,0.02075271498251516,0.5,0.7255859375,36,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-25303760670,2026-03-22,2026-05-04,265,0.8528301886792453,0.8490566037735849,220,6,5,34,0.04150943396226415,-0.0037735849056603774,-0.028299884793835915,0.02075271498251516,0.5,0.7255859375,43,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-25653805302,2026-03-22,2026-05-11,266,0.8533834586466166,0.849624060150376,222,5,4,35,0.03383458646616541,-0.0037593984962406013,-0.025860044366741285,0.018341247374260083,0.5,0.74609375,50,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-26017377983,2026-03-22,2026-05-18,266,0.8533834586466166,0.8421052631578947,221,6,3,36,0.03383458646616541,-0.011278195488721804,-0.03334186827457691,0.010785477297133299,0.25390625,0.91015625,57,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-26386972486,2026-03-22,2026-05-25,265,0.8528301886792453,0.8490566037735849,221,5,4,35,0.033962264150943396,-0.0037735849056603774,-0.025957611948513547,0.018410442137192794,0.5,0.74609375,64,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-26739370271,2026-03-22,2026-06-01,265,0.8528301886792453,0.8452830188679246,220,6,4,35,0.03773584905660377,-0.007547169811320755,-0.0309184326908774,0.015824093068235887,0.376953125,0.828125,71,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-27120305151,2026-03-22,2026-06-08,266,0.8533834586466166,0.849624060150376,222,5,4,35,0.03383458646616541,-0.0037593984962406013,-0.025860044366741285,0.018341247374260083,0.5,0.74609375,78,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-27529172037,2026-03-22,2026-06-15,265,0.8528301886792453,0.8490566037735849,219,7,6,33,0.04905660377358491,-0.0037735849056603774,-0.030437187748700887,0.022890017937380134,0.5,0.70947265625,85,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-27934941478,2026-03-22,2026-06-22,265,0.8528301886792453,0.8264150943396227,217,9,2,37,0.04150943396226415,-0.026415094339622643,-0.0507385543572294,-0.002091634322015888,0.03271484375,0.994140625,92,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-28353397523,2026-03-22,2026-06-29,266,0.8533834586466166,0.8458646616541353,221,6,4,35,0.03759398496240601,-0.007518796992481203,-0.03080226414285734,0.015764670157894935,0.376953125,0.828125,99,1.0,False,False
claude-haiku-4-5,gha-23349348405,gha-28772619054,2026-03-22,2026-07-06,265,0.8528301886792453,0.8301886792452831,219,7,1,38,0.03018867924528302,-0.022641509433962263,-0.043382816341538274,-0.0019002025263862507,0.03515625,0.99609375,106,1.0,False,False
claude-sonnet-4-5,gha-23349348405,gha-23832575964,2026-03-22,2026-04-01,265,0.9056603773584906,0.9056603773584906,237,3,3,22,0.022641509433962263,0.0,-0.01811698073907558,0.01811698073907558,0.65625,0.65625,10,1.0,False,False
claude-sonnet-4-5,gha-23349348405,gha-24328022313,2026-03-22,2026-04-13,264,0.9053030303030303,0.9053030303030303,235,4,4,21,0.030303030303030304,0.0,-0.020998928653418687,0.020998928653418687,0.63671875,0.63671875,22,1.0,False,False
claude-sonnet-4-5,gha-23349348405,gha-24650819763,2026-03-22,2026-04-20,264,0.9053030303030303,0.8939393939393939,233,6,3,22,0.03409090909090909,-0.011363636363636364,-0.03359414041872812,0.010866867691455395,0.25390625,0.91015625,29,1.0,False,False
claude-sonnet-4-5,gha-23349348405,gha-24979191336,2026-03-22,2026-04-27,265,0.9056603773584906,0.8830188679245283,230,10,4,21,0.052830188679245285,-0.022641509433962263,-0.05018105923664233,0.004898040368717809,0.08978271484375,0.9713134765625,36,1.0,False,False
claude-sonnet-4-5,gha-23349348405,gha-25303760670,2026-03-22,2026-05-04,263,0.908745247148289,0.8973384030418251,234,5,2,22,0.026615969581749048,-0.011406844106463879,-0.03107597558054157,0.008262287367613811,0.2265625,0.9375,43,1.0,False,False
claude-sonnet-4-5,gha-23349348405,gha-25653805302,2026-03-22,2026-05-11,264,0.9053030303030303,0.9015151515151515,232,7,6,19,0.04924242424242424,-0.003787878787878788,-0.03055246540802736,0.022976707832269783,0.5,0.70947265625,50,1.0,False,False
claude-sonnet-4-5,gha-23349348405,gha-26017377983,2026-03-22,2026-05-18,264,0.9053030303030303,0.9015151515151515,235,4,3,22,0.026515151515151516,-0.003787878787878788,-0.023425262613223488,0.015849505037465912,0.5,0.7734375,57,1.0,False,False
